ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
2,Abin Sur,good,Male,blue,Ungaran,No Hair,DC Comics,red,185.0,90.0,50,90,53,64,84,65,406
7,Adam Strange,good,Male,blue,Human,Blond,DC Comics,-,185.0,88.0,1,1,1,1,0,1,5
13,Alan Scott,good,Male,blue,-,Blond,DC Comics,-,180.0,90.0,63,80,23,90,98,32,386
16,Alfred Pennyworth,good,Male,blue,Human,Black,DC Comics,-,178.0,72.0,63,10,17,10,7,55,162
19,Amazo,bad,Male,red,Android,-,DC Comics,-,257.0,173.0,75,100,100,100,100,100,575
27,Animal Man,good,Male,blue,Human,Blond,DC Comics,-,183.0,83.0,56,48,47,85,73,80,389
31,Anti-Monitor,bad,Male,yellow,God / Eternal,No Hair,DC Comics,-,61.0,-99.0,88,90,38,90,100,90,496
35,Aquababy,good,Male,blue,-,Blond,DC Comics,-,-99.0,-99.0,10,16,12,14,37,14,103
36,Aqualad,good,Male,blue,Atlantean,Black,DC Comics,-,178.0,106.0,63,44,42,75,76,60,360
37,Aquaman,good,Male,blue,Atlantean,Blond,DC Comics,-,185.0,146.0,63,80,50,80,65,80,418
45,Arsenal,good,Male,-,Human,-,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
49,Atom,good,Male,blue,-,Red,DC Comics,-,178.0,68.0,1,1,1,1,0,1,5
50,Atom,good,Male,-,-,-,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
51,Atom Girl,good,Female,black,-,Black,DC Comics,-,168.0,54.0,38,10,23,28,38,42,179
52,Atom II,good,Male,brown,Human,Auburn,DC Comics,-,183.0,81.0,1,1,1,1,0,1,5
53,Atom III,good,Male,-,-,Red,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
54,Atom IV,good,Male,brown,-,Black,DC Comics,-,-99.0,72.0,1,1,1,1,0,1,5
57,Azrael,good,Male,brown,Human,Black,DC Comics,-,-99.0,-99.0,63,18,17,20,35,80,233
58,Aztar,good,Male,-,-,-,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
59,Bane,bad,Male,-,Human,-,DC Comics,-,203.0,180.0,88,53,23,56,51,95,366
64,Batgirl III,good,Female,-,-,-,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
65,Batgirl IV,good,Female,green,Human,Black,DC Comics,-,165.0,52.0,69,12,27,56,42,100,306
66,Batgirl V,good,Female,-,-,-,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
67,Batgirl VI,good,Female,blue,-,Blond,DC Comics,-,168.0,61.0,75,10,23,28,22,80,238
68,Batman,good,Male,blue,Human,black,DC Comics,-,188.0,95.0,100,18,27,42,37,100,324
69,Batman,good,Male,blue,Human,Black,DC Comics,-,178.0,77.0,100,18,27,42,37,100,324
70,Batman II,good,Male,blue,Human,Black,DC Comics,-,178.0,79.0,88,11,33,28,36,100,296
75,Beast Boy,good,Male,green,Human,Green,DC Comics,green,173.0,68.0,50,28,50,70,79,40,317
77,Ben 10,good,Male,-,-,-,DC Comics,-,-99.0,-99.0,10,7,8,10,90,40,165
92,Bizarro,neutral,Male,black,Bizarro,Black,DC Comics,white,191.0,155.0,75,95,100,100,95,85,550
94,Black Adam,bad,Male,brown,-,Black,DC Comics,-,191.0,113.0,88,100,92,100,89,56,525
102,Black Lightning,good,Male,brown,-,No Hair,DC Comics,-,185.0,90.0,50,11,53,28,70,75,287
122,Blue Beetle,good,Male,blue,-,Brown,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
123,Blue Beetle,good,Male,-,-,-,DC Comics,-,-99.0,-99.0,1,1,1,1,0,1,5
124,Blue Beetle II,good,Male,blue,-,Brown,DC Comics,-,183.0,86.0,1,1,1,1,0,1,5
125,Blue Beetle III,good,Male,brown,Human,Black,DC Comics,-,-99.0,-99.0,50,34,58,80,97,30,349
131,Booster Gold,good,Male,blue,Human,Blond,DC Comics,-,196.0,97.0,56,85,53,50,72,40,356
135,Brainiac,bad,Male,green,Android,No Hair,DC Comics,green,198.0,135.0,100,28,63,90,60,75,416
136,Brainiac 5,good,Male,green,-,Blond,DC Comics,-,170.0,61.0,100,10,23,28,60,32,253
141,Bumblebee,good,Female,brown,Human,Black,DC Comics,-,170.0,59.0,63,28,25,10,45,35,206
143,Bushido,good,Male,-,Human,-,DC Comics,-,-99.0,-99.0,38,10,8,10,19,70,155
149,Captain Atom,good,Male,blue,Human / Radiation,Silver,DC Comics,silver,193.0,90.0,1,1,1,1,0,1,5
156,Captain Marvel,good,Male,blue,Human,Black,DC Comics,-,193.0,101.0,100,100,67,95,62,56,480
